Item Number,Description,UPC,List Price,Price,DISCOUNT,NET,PS,New Release,Whse 1 Availability ,Whse 2 Availability,Product Type,Category,Sub-Category,Minimum Order Quantity,Case Quantity
PH43835-5,"KG Sydney 8X10"" Antique Bronze FRAME (AZ)",68589438355,$3.95,$2.99,,,YES,,In Stock,Out of Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH43845-4,"KG Reagan Black Frame 4X6"" Glass Cover ( LD S6 )",68589438454,$1.69,$1.69,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",12,24
PH43846-1,"KG Reagan Black Frame 5X7"" Glass Cover ( LD S1 )",68589438461,$2.03,$2.03,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",12,24
PH43847-8,"KG Reagan Black Frame 8X10"" BLACK ( LD S1 )",68589438478,$3.60,$3.60,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH43848-5,"KG Reagan 8.5X11"" Document Frame BLACK, PS ( LD S5 )",68589438485,$4.10,$4.10,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size-Document(8.5""x11"")",6,12
PH43878-2,"KG Emery 4X6"" Frame, Brushed PEWTER (AZ)",68589438782,$1.80,$1.79,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH43879-9,"KG Emery 5X7"" Frame, Brushed PEWTER (AZ)",68589438799,$2.00,$1.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH43881-2,"KG Emery 8X10"" Frame, Brushed PEWTER (AZ)",68589438812,$3.25,$2.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,24
PH43910-9,"KG 36 Pkt 4X6Photo Album- 4 colours 3 Ply PP Inner,Weld bound (AZ)",68589439109,$1.15,$1.15,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,24,48
PH43911-6,"KG Desk Top Album w/ Gold Marker 4x6 20s, Amour , Pink",68589439116,$4.15,$4.15,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,12,24
PH43912-3,"KG Fabric cvr 200Pkt 4X6 Album 2 Up Ribbon closure, 140gsm, PP (AZ)",68589439123,$6.65,$6.65,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH43913-0,"KG 400 Pocket Black Photo Album,Bk CD POCKET/DUST JACKET (AZ) *",68589439130,$7.30,$7.30,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH43914-7,"KG 400 Pocket Photo Album W/Cd POCKET/DUST JACKET,COOL GREY (AZ)",68589439147,$7.30,$7.30,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH43915-4,"KG PU Weave 200Pkt 4X6 Album-Silver 2 Ups, 140gsm PP inner (AZ)",68589439154,$6.90,$6.90,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH43917-9,"KG Desk Top Album w/ Gold Marker 5x7 20s, BRIDAL Window, Beige",68589439178,$5.05,$5.05,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,12,24
PH43918-6,"KG Desk Top Album w/ Gold Marker 4x6 20s, GOAT! Grey",68589439185,$4.15,$4.15,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,12,24
PH43919-3,"KG Desk Top Album w/ Gold Marker 5x7 20s, HONOUR Window, Blue",68589439192,$5.05,$5.05,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,12,24
PH43924-6,"KG Georgia 11X14"" (For 8X10)Frame BLACK ( LD S4 )",68589439246,$5.50,$5.50,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",6,6
PH43925-3,"KG Georgia 11X14"" (For 8X10)Frame WHITE (AZ) *",68589439253,$5.50,$5.50,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",6,6
PH43926-0,KG 400 Pocket White Photo Album w/CD POCKET/DIST JACKET (AZ),68589439260,$7.75,$7.75,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Albums,6,12
PH44003-7,"KG Emery 4X6"" Frame, Weathered BARNWOOD FINISH (AZ)",68589440037,$1.65,$1.65,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44004-4,"KG Emery 5X7"" Frame, Weathered BARNWOOD FINISH (AZ)",68589440044,$1.85,$1.85,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44005-1,"KG Emery 8X10"" Frame, Weathered BARNWOOD FINISH (AZ)",68589440051,$3.30,$2.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,24
PH44006-8,"KG Emery 4X6"" Frame, Weathered GREY RECLAIMED WOOD FINISH (AZ)",68589440068,$2.15,$2.15,,YES,,,In Stock,Out of Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44007-5,"KG Emery 5X7"" Frame, Weathered GREY RECLAIMED WOOD FINISH (AZ)",68589440075,$1.85,$1.85,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44008-2,"KG Emery 8X10"" Frame, Weathered GREY RECLAIMED WOOD FINISH (AZ)",68589440082,$3.30,$2.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,24
PH44015-0,"KG Contempo 4X6"" Wood Frame WHITE ( LD S1 )",68589440150,$2.25,$2.25,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,12
PH44016-7,"KG Contempo 5X7"" Wood Frame WHITE ( LD S1 )",68589440167,$2.65,$2.65,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,12
PH44017-4,"KG Contempo 8X10"" Wood Frame WHITE ( LD S2 )",68589440174,$3.95,$3.95,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44032-7,"KG Wilson 8X10"" Frame, Brushed SILVER W/EMBOSSED MOTIF (AZ)",68589440327,$3.60,$3.60,,YES,,,Out of Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44033-4,"KG Maya 4X6"" Frame, Weathered WHITE BEACHWOOD FINISH (AZ)",68589440334,$1.75,$1.75,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44034-1,"KG Maya 5X7"" Frame, Weathered WHITE BEACHWOOD FINISH (AZ)",68589440341,$2.15,$2.15,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44035-8,"KG Maya 8X10"" Frame, Weathered WHITE BEACHWOOD FINISH (AZ)",68589440358,$2.95,$2.95,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44036-5,"KG Claire 4X6"" Frame, Black W/RAISED LEAF BORDER (AZ)",68589440365,$1.69,$1.69,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44037-2,"KG Claire 5X7"" Frame, Black W/RAISED LEAF BORDER (AZ)",68589440372,$1.85,$1.85,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44038-9,"KG Claire 8X10"" Frame, Black W/RAISED LEAF BORDER (AZ)",68589440389,$3.42,$3.42,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44047-1,"KG Lucy 3-5X7"" Frame Set, Drk Brwn W/GOLD BEADING (HORIZONTAL) (AZ)",68589440471,$4.90,$3.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",4,12
PH44048-8,"KG Lucy 3-5X7"" Frame Set, Drk Brwn W/GOLD BEADING (VERTICAL) (AZ)",68589440488,$4.90,$3.99,,,YES,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",4,12
PH44050-1,"KG Contempo 11X14"" (For 8X10) WOOD FRAME -WHITE ( LD S2)",68589440501,$7.75,$7.75,,YES,,,In Stock,Out of Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",6,6
PH44058-7,"KG Family 17.5X22"" Collage Frame FOR 8-4X6in, BLACK ( LD S2 )",68589440587,$13.20,$13.20,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,Collage,4,4
PH44059-4,"KG Langford 8X8"" (For 4X4) Frame WOOD, BLACK ( LD S2 )",68589440594,$4.25,$4.25,,YES,,,Coming Soon,In Stock,EVERYDAY,Photo Frames,Size - Others,6,6
PH44076-1,"KG Contempo 8X10"" Float Frame BLACK, FOR 5X7 ( LD S1 )",68589440761,$4.50,$4.50,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,6
PH44077-8,"KG Contempo 11X14"" Float Frame BLACK, FOR 8X10 ( LD S1 )",68589440778,$7.75,$7.75,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",6,6
PH44078-5,"KG Contempo 16X20"" Float Frame BLACK, FOR 11X14 ( LD S3 )",68589440785,$12.80,$12.80,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 11"" x 14"" and up",4,4
PH44087-7,KG Loft 4X6 Frame-Driftwood Black Glass Cover ( LD S1 S5 ),68589440877,$2.30,$2.30,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",6,24
PH44088-4,KG Loft 5X7 Frame-Driftwood Black Glass Cover ( LD S1 ),68589440884,$2.75,$2.75,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",6,24
PH44089-1,"KG Loft 8X10"" Frame-Driftwood BLACK ( LD S1 )",68589440891,$4.50,$4.50,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",6,12
PH44203-1,"KG MOTIF 4x6"" PS Photo Frame , Soft Grey, Trim Profile: 2.8x1.5cm",68589442031,$1.60,$1.60,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",12,36
PH44204-8,"KG MOTIF 5x7"" PS Photo Frame , Soft Grey , Trim Profile: 2.8x1.5cm",68589442048,$1.90,$1.90,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",12,36
PH44205-5,"KG MOTIF 8x10"" PS Photo Frame , Soft Grey, Trim Profile: 2.8x1.5cm",68589442055,$2.90,$2.90,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",12,24
PH44206-2,"KG MOTIF 4x6"" PS Photo Frame , Warm Blonde, Trim Profile: 2.8x1.5cm",68589442062,$1.60,$1.60,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",12,36
PH44207-9,"KG MOTIF 5x7"" PS Photo Frame , Warm Blonde , Trim Profile: 2.8x1.5cm",68589442079,$1.90,$1.90,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",12,36
PH44208-6,"KG MOTIF 8x10"" PS Photo Frame , Warm Blonde, Trim Profile: 2.8x1.5cm",68589442086,$2.90,$2.90,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",12,24
PH44209-3,"KG RIVO 4x6"" PS Photo Frame, Espresso, Trim Profile: 2.5x1.3cm",68589442093,$1.35,$1.35,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 4"" x 6""",12,36
PH44210-9,"KG RIVO 5x7"" PS Photo Frame, Espresso, Trim Profile: 2.5x1.3cm",68589442109,$1.70,$1.70,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 5"" x 7""",12,36
PH44211-6,"KG RIVO 8x10"" PS Photo Frame, Espresso, Trim Profile: 2.5x1.3cm",68589442116,$2.55,$2.55,,YES,,,In Stock,In Stock,EVERYDAY,Photo Frames,"Size - 8"" x 10""",12,24
